CODB_LSA_train,CODB_LSA_test,CODB_NLP_train,CODB_NLP_test
1220_train_n,9134_test_n,243_train_n,1782_test_n
3934_train_p,7058_test_n,8093_train_n,11280_test_n
6807_train_p,2896_test_p,10623_train_n,4067_test_p
6000_train_p,11688_test_n,2816_train_n,4563_test_n
10146_train_p,5068_test_n,12041_train_n,7802_test_n
12352_train_p,2453_test_n,5890_train_n,10861_test_p
2427_train_p,9036_test_n,2969_train_n,1988_test_n
882_train_p,1502_test_n,10269_train_n,9646_test_n
9600_train_p,898_test_n,5809_train_n,6995_test_n
6329_train_p,5639_test_p,7172_train_n,3704_test_p
3523_train_p,11179_test_n,2904_train_n,5476_test_n
709_train_p,9408_test_n,826_train_n,7795_test_n
12255_train_p,11183_test_n,1220_train_n,9122_test_n
6070_train_p,3720_test_n,10706_train_n,3439_test_n
4854_train_p,1248_test_n,11900_train_n,10516_test_n
642_train_p,6243_test_n,1873_train_n,8567_test_n
670_train_p,4697_test_n,7365_train_n,8346_test_n
4879_train_p,6524_test_p,9769_train_n,9207_test_n
7231_train_n,715_test_n,10850_train_n,11179_test_n
2681_train_p,4179_test_p,4657_train_n,8166_test_n
5515_train_p,5187_test_p,8562_train_n,9155_test_p
5251_train_p,6887_test_n,844_train_p,5430_test_n
10699_train_p,6688_test_p,6445_train_n,12296_test_n
8654_train_p,4052_test_n,1844_train_n,11192_test_p
3098_train_p,2364_test_p,670_train_p,6257_test_p
7681_train_p,169_test_n,5991_train_p,6607_test_n
5341_train_p,5740_test_n,10942_train_p,8018_test_n
5130_train_n,10939_test_p,7296_train_p,3936_test_n
5421_train_p,2286_test_n,11842_train_p,727_test_n
10120_train_p,9886_test_n,6329_train_p,9486_test_n
12351_train_p,8012_test_n,290_train_p,152_test_n
3444_train_p,2119_test_n,7384_train_p,2144_test_p
11609_train_n,1470_test_p,4763_train_p,5500_test_n
9384_train_p,10712_test_n,10085_train_p,7355_test_n
8211_train_n,4563_test_n,2672_train_p,4687_test_p
7521_train_p,12027_test_p,9752_train_n,6103_test_n
3131_train_n,9694_test_p,1575_train_p,2950_test_n
3555_train_p,5099_test_n,6086_train_p,5161_test_p
4411_train_p,5696_test_p,12045_train_n,9333_test_n
12133_train_n,2014_test_p,1694_train_p,7008_test_n
4324_train_p,11197_test_n,10203_train_n,1599_test_p
7309_train_n,11403_test_p,5158_train_p,7397_test_p
4098_train_p,11343_test_n,4314_train_n,11568_test_p
4314_train_n,965_test_n,9826_train_p,3989_test_n
9473_train_n,1817_test_n,11434_train_n,5675_test_p
9330_train_n,2232_test_n,5834_train_p,9991_test_p
3525_train_n,8577_test_n,4769_train_p,9986_test_n
6425_train_n,7790_test_n,1256_train_n,952_test_n
7365_train_n,11347_test_p,808_train_n,3804_test_n
11292_train_n,2136_test_n,10618_train_p,2774_test_n
9260_train_n,4533_test_p,8761_train_n,3931_test_n
4707_train_n,11568_test_p,6218_train_n,9239_test_n
9452_train_n,10087_test_p,6259_train_n,10093_test_n
11089_train_p,8962_test_n,7104_train_n,98_test_n
1385_train_n,3308_test_n,3525_train_n,8460_test_n
2816_train_n,3529_test_n,6830_train_n,5992_test_n
11832_train_n,4577_test_n,496_train_n,878_test_n
1816_train_n,5461_test_n,7878_train_n,119_test_n
