name;number of persons;number of locations;number of organisations;number of named entities;number of words;relative number of Persons;relative number of locations;relative number of organisations
4862_7.txt;6;1;0;7;169;0.04;0.01;0.0
2535_7.txt;16;0;0;16;207;0.08;0.0;0.0
7848_10.txt;13;0;0;13;246;0.05;0.0;0.0
6819_8.txt;0;4;1;5;255;0.0;0.02;0.0
9723_9.txt;3;2;0;5;457;0.01;0.0;0.0
1974_8.txt;8;1;1;10;362;0.02;0.0;0.0
6366_8.txt;0;0;0;0;63;0.0;0.0;0.0
8223_9.txt;2;1;0;3;114;0.02;0.01;0.0
11275_10.txt;6;3;0;9;541;0.01;0.01;0.0
5911_9.txt;46;4;9;59;737;0.06;0.01;0.01
4728_8.txt;2;1;0;3;132;0.02;0.01;0.0
10274_8.txt;0;0;0;0;133;0.0;0.0;0.0
12101_7.txt;3;3;0;6;180;0.02;0.02;0.0
7777_10.txt;13;1;0;14;217;0.06;0.0;0.0
7840_8.txt;8;0;0;8;236;0.03;0.0;0.0
5732_7.txt;5;3;3;11;273;0.02;0.01;0.01
6973_10.txt;0;4;1;5;157;0.0;0.03;0.01
9846_7.txt;1;0;0;1;234;0.0;0.0;0.0
7507_8.txt;32;3;1;36;355;0.09;0.01;0.0
6424_10.txt;8;0;0;8;182;0.04;0.0;0.0
1708_10.txt;5;2;1;8;191;0.03;0.01;0.01
10364_10.txt;19;1;3;23;397;0.05;0.0;0.01
12218_7.txt;8;2;2;12;426;0.02;0.0;0.0
11866_8.txt;1;0;0;1;103;0.01;0.0;0.0
5725_9.txt;4;0;4;8;339;0.01;0.0;0.01
1490_8.txt;10;2;1;13;408;0.02;0.0;0.0
984_7.txt;6;0;0;6;237;0.03;0.0;0.0
7161_9.txt;6;0;0;6;162;0.04;0.0;0.0
10468_9.txt;8;1;0;9;124;0.06;0.01;0.0
3207_7.txt;4;0;2;6;238;0.02;0.0;0.01
5329_9.txt;2;0;2;4;134;0.01;0.0;0.01
8057_10.txt;13;2;2;17;562;0.02;0.0;0.0
11616_8.txt;2;4;0;6;489;0.0;0.01;0.0
108_10.txt;3;2;0;5;98;0.03;0.02;0.0
11856_10.txt;0;0;0;0;61;0.0;0.0;0.0
8647_7.txt;4;2;0;6;87;0.05;0.02;0.0
1686_10.txt;4;0;0;4;135;0.03;0.0;0.0
11925_7.txt;4;0;0;4;160;0.03;0.0;0.0
10405_8.txt;4;1;0;5;330;0.01;0.0;0.0
11045_9.txt;11;0;2;13;491;0.02;0.0;0.0
1776_10.txt;13;1;4;18;278;0.05;0.0;0.01
11166_7.txt;22;5;0;27;301;0.07;0.02;0.0
11862_10.txt;0;0;0;0;85;0.0;0.0;0.0
12261_10.txt;12;1;7;20;402;0.03;0.0;0.02
6876_8.txt;8;5;10;23;553;0.01;0.01;0.02
8075_8.txt;8;0;0;8;291;0.03;0.0;0.0
4266_7.txt;14;9;4;27;548;0.03;0.02;0.01
5582_9.txt;44;5;2;51;615;0.07;0.01;0.0
834_8.txt;15;0;0;15;252;0.06;0.0;0.0
7784_7.txt;1;0;0;1;136;0.01;0.0;0.0
3415_9.txt;9;0;0;9;148;0.06;0.0;0.0
2125_10.txt;18;7;3;28;306;0.06;0.02;0.01
9442_10.txt;25;1;2;28;577;0.04;0.0;0.0
4181_9.txt;0;2;0;2;219;0.0;0.01;0.0
1256_8.txt;9;0;0;9;91;0.1;0.0;0.0
547_10.txt;3;6;0;9;180;0.02;0.03;0.0
8149_10.txt;15;0;9;24;370;0.04;0.0;0.02
1096_9.txt;6;1;0;7;149;0.04;0.01;0.0
7230_8.txt;12;0;0;12;261;0.05;0.0;0.0
3860_10.txt;20;3;0;23;378;0.05;0.01;0.0
7297_10.txt;4;0;3;7;138;0.03;0.0;0.02
6121_10.txt;1;0;0;1;78;0.01;0.0;0.0
9389_7.txt;9;3;0;12;227;0.04;0.01;0.0
10929_10.txt;9;6;5;20;422;0.02;0.01;0.01
8495_8.txt;83;9;10;102;908;0.09;0.01;0.01
2042_7.txt;3;3;3;9;305;0.01;0.01;0.01
8235_7.txt;14;0;2;16;422;0.03;0.0;0.0
579_10.txt;8;6;0;14;362;0.02;0.02;0.0
4505_8.txt;4;1;5;10;360;0.01;0.0;0.01
4623_7.txt;4;0;0;4;153;0.03;0.0;0.0
4939_7.txt;4;0;0;4;177;0.02;0.0;0.0
8285_8.txt;22;0;0;22;614;0.04;0.0;0.0
1882_10.txt;15;0;0;15;225;0.07;0.0;0.0
3271_9.txt;16;0;0;16;213;0.08;0.0;0.0
5726_7.txt;3;0;0;3;170;0.02;0.0;0.0
6194_8.txt;15;0;0;15;348;0.04;0.0;0.0
2330_8.txt;4;0;1;5;157;0.03;0.0;0.01
8161_10.txt;3;0;0;3;170;0.02;0.0;0.0
2052_10.txt;5;0;0;5;213;0.02;0.0;0.0
2533_7.txt;27;1;0;28;546;0.05;0.0;0.0
5763_8.txt;2;0;2;4;256;0.01;0.0;0.01
2034_9.txt;2;1;1;4;294;0.01;0.0;0.0
3276_8.txt;15;1;0;16;358;0.04;0.0;0.0
7073_10.txt;10;0;0;10;203;0.05;0.0;0.0
5994_8.txt;3;1;0;4;253;0.01;0.0;0.0
7788_10.txt;4;1;1;6;119;0.03;0.01;0.01
5359_10.txt;27;1;2;30;581;0.05;0.0;0.0
4443_8.txt;21;0;6;27;1147;0.02;0.0;0.01
7863_10.txt;0;0;0;0;104;0.0;0.0;0.0
8146_10.txt;12;3;2;17;563;0.02;0.01;0.0
5690_7.txt;10;2;0;12;205;0.05;0.01;0.0
6254_10.txt;1;1;0;2;202;0.0;0.0;0.0
11959_8.txt;24;4;2;30;476;0.05;0.01;0.0
840_9.txt;1;0;0;1;202;0.0;0.0;0.0
12452_8.txt;28;5;1;34;535;0.05;0.01;0.0
9223_9.txt;37;4;2;43;359;0.1;0.01;0.01
4797_10.txt;14;0;0;14;341;0.04;0.0;0.0
823_9.txt;6;2;0;8;178;0.03;0.01;0.0
9259_10.txt;0;0;0;0;147;0.0;0.0;0.0
9824_10.txt;2;0;0;2;123;0.02;0.0;0.0
4384_10.txt;27;4;0;31;864;0.03;0.0;0.0
6157_10.txt;4;2;2;8;227;0.02;0.01;0.01
4937_7.txt;7;3;0;10;118;0.06;0.03;0.0
862_7.txt;6;0;0;6;196;0.03;0.0;0.0
3656_8.txt;2;2;2;6;284;0.01;0.01;0.01
6809_7.txt;2;1;2;5;151;0.01;0.01;0.01
770_10.txt;8;0;2;10;169;0.05;0.0;0.01
9333_8.txt;6;1;0;7;327;0.02;0.0;0.0
7509_8.txt;15;0;5;20;570;0.03;0.0;0.01
11547_9.txt;3;0;0;3;116;0.03;0.0;0.0
3105_8.txt;11;0;0;11;441;0.02;0.0;0.0
10105_8.txt;17;0;3;20;440;0.04;0.0;0.01
10411_9.txt;16;1;4;21;452;0.04;0.0;0.01
5436_7.txt;36;8;8;52;618;0.06;0.01;0.01
8892_10.txt;2;0;0;2;120;0.02;0.0;0.0
3543_10.txt;34;9;2;45;1160;0.03;0.01;0.0
1817_8.txt;1;0;0;1;138;0.01;0.0;0.0
4111_10.txt;2;0;0;2;148;0.01;0.0;0.0
4339_10.txt;0;0;0;0;259;0.0;0.0;0.0
1238_7.txt;4;0;0;4;66;0.06;0.0;0.0
5931_7.txt;2;0;1;3;136;0.01;0.0;0.01
11400_10.txt;29;3;3;35;739;0.04;0.0;0.0
11477_8.txt;5;1;0;6;302;0.02;0.0;0.0
12407_7.txt;12;1;0;13;664;0.02;0.0;0.0
7607_8.txt;5;0;0;5;207;0.02;0.0;0.0
6759_7.txt;14;0;0;14;272;0.05;0.0;0.0
11429_7.txt;1;4;0;5;714;0.0;0.01;0.0
4724_7.txt;0;0;0;0;288;0.0;0.0;0.0
7585_8.txt;1;0;0;1;112;0.01;0.0;0.0
11789_10.txt;2;0;0;2;261;0.01;0.0;0.0
6241_10.txt;0;1;0;1;303;0.0;0.0;0.0
9379_7.txt;5;0;0;5;198;0.03;0.0;0.0
6070_8.txt;9;0;0;9;164;0.05;0.0;0.0
10788_10.txt;2;0;0;2;175;0.01;0.0;0.0
8337_10.txt;4;0;0;4;248;0.02;0.0;0.0
3661_10.txt;10;0;2;12;184;0.05;0.0;0.01
3205_8.txt;0;0;0;0;83;0.0;0.0;0.0
3823_9.txt;2;3;0;5;150;0.01;0.02;0.0
5975_8.txt;5;2;1;8;153;0.03;0.01;0.01
5274_7.txt;0;0;0;0;253;0.0;0.0;0.0
9040_9.txt;6;2;0;8;194;0.03;0.01;0.0
11704_10.txt;3;1;1;5;593;0.01;0.0;0.0
9713_10.txt;2;4;1;7;339;0.01;0.01;0.0
696_10.txt;3;0;0;3;147;0.02;0.0;0.0
10413_10.txt;7;0;0;7;99;0.07;0.0;0.0
8338_8.txt;4;0;0;4;102;0.04;0.0;0.0
8291_8.txt;13;0;0;13;306;0.04;0.0;0.0
10830_10.txt;0;0;0;0;102;0.0;0.0;0.0
12413_9.txt;4;0;0;4;68;0.06;0.0;0.0
10553_8.txt;8;1;0;9;138;0.06;0.01;0.0
582_9.txt;0;0;0;0;335;0.0;0.0;0.0
1084_9.txt;17;1;0;18;225;0.08;0.0;0.0
6_10.txt;1;0;2;3;88;0.01;0.0;0.02
3178_8.txt;5;0;0;5;132;0.04;0.0;0.0
8732_9.txt;10;0;0;10;585;0.02;0.0;0.0
9353_8.txt;28;0;0;28;188;0.15;0.0;0.0
4437_7.txt;12;2;0;14;382;0.03;0.01;0.0
7453_10.txt;46;1;0;47;509;0.09;0.0;0.0
6271_9.txt;0;0;0;0;170;0.0;0.0;0.0
1370_8.txt;5;0;0;5;123;0.04;0.0;0.0
230_9.txt;24;1;0;25;216;0.11;0.0;0.0
837_7.txt;19;1;0;20;486;0.04;0.0;0.0
3350_7.txt;3;0;0;3;235;0.01;0.0;0.0
884_8.txt;7;1;0;8;286;0.02;0.0;0.0
6032_10.txt;5;5;1;11;226;0.02;0.02;0.0
2152_8.txt;4;1;0;5;169;0.02;0.01;0.0
1251_9.txt;9;9;1;19;247;0.04;0.04;0.0
7326_10.txt;35;2;0;37;697;0.05;0.0;0.0
9021_10.txt;0;0;3;3;124;0.0;0.0;0.02
6079_9.txt;5;0;0;5;145;0.03;0.0;0.0
6936_7.txt;11;4;2;17;161;0.07;0.02;0.01
2914_8.txt;8;2;10;20;270;0.03;0.01;0.04
712_9.txt;0;0;1;1;56;0.0;0.0;0.02
7626_9.txt;7;0;0;7;170;0.04;0.0;0.0
4102_10.txt;3;0;0;3;64;0.05;0.0;0.0
3439_9.txt;15;0;1;16;706;0.02;0.0;0.0
10363_9.txt;8;0;0;8;410;0.02;0.0;0.0
3711_7.txt;36;6;0;42;794;0.05;0.01;0.0
4649_10.txt;16;0;3;19;836;0.02;0.0;0.0
11311_10.txt;0;0;0;0;54;0.0;0.0;0.0
6107_7.txt;0;0;0;0;93;0.0;0.0;0.0
6684_10.txt;19;0;0;19;191;0.1;0.0;0.0
5029_8.txt;2;0;0;2;327;0.01;0.0;0.0
1748_8.txt;4;0;0;4;350;0.01;0.0;0.0
4471_8.txt;29;1;1;31;185;0.16;0.01;0.01
2209_8.txt;6;0;0;6;136;0.04;0.0;0.0
2384_10.txt;21;0;7;28;417;0.05;0.0;0.02
5550_7.txt;12;1;0;13;216;0.06;0.0;0.0
1760_10.txt;33;2;3;38;243;0.14;0.01;0.01
1924_10.txt;1;0;0;1;228;0.0;0.0;0.0
3651_10.txt;18;2;2;22;343;0.05;0.01;0.01
4357_10.txt;8;0;0;8;203;0.04;0.0;0.0
8777_10.txt;4;0;0;4;52;0.08;0.0;0.0
9045_9.txt;11;5;4;20;241;0.05;0.02;0.02
4591_9.txt;23;0;0;23;499;0.05;0.0;0.0
1066_10.txt;0;0;0;0;73;0.0;0.0;0.0
2684_10.txt;1;0;0;1;55;0.02;0.0;0.0
168_9.txt;10;1;1;12;230;0.04;0.0;0.0
11149_10.txt;22;7;0;29;439;0.05;0.02;0.0
2683_10.txt;6;0;0;6;153;0.04;0.0;0.0
5536_9.txt;0;0;0;0;142;0.0;0.0;0.0
7398_10.txt;3;1;0;4;288;0.01;0.0;0.0
2370_10.txt;0;2;0;2;150;0.0;0.01;0.0
12020_7.txt;36;1;0;37;338;0.11;0.0;0.0
1528_8.txt;9;0;0;9;150;0.06;0.0;0.0
12006_10.txt;4;2;0;6;138;0.03;0.01;0.0
10042_10.txt;35;2;5;42;615;0.06;0.0;0.01
8850_8.txt;19;0;0;19;242;0.08;0.0;0.0
6657_9.txt;66;10;1;77;1082;0.06;0.01;0.0
4365_9.txt;25;2;0;27;486;0.05;0.0;0.0
846_7.txt;18;3;1;22;292;0.06;0.01;0.0
11151_8.txt;16;4;1;21;737;0.02;0.01;0.0
10215_10.txt;13;0;0;13;490;0.03;0.0;0.0
11683_8.txt;3;1;0;4;373;0.01;0.0;0.0
3527_7.txt;27;4;0;31;408;0.07;0.01;0.0
7106_8.txt;42;4;0;46;479;0.09;0.01;0.0
11598_8.txt;4;0;0;4;63;0.06;0.0;0.0
2517_9.txt;4;0;1;5;294;0.01;0.0;0.0
10500_10.txt;1;0;2;3;150;0.01;0.0;0.01
960_7.txt;2;0;0;2;170;0.01;0.0;0.0
12317_10.txt;0;0;0;0;239;0.0;0.0;0.0
12415_8.txt;8;1;0;9;116;0.07;0.01;0.0
4091_7.txt;0;4;0;4;606;0.0;0.01;0.0
5942_7.txt;17;3;3;23;376;0.05;0.01;0.01
11344_7.txt;19;5;3;27;316;0.06;0.02;0.01
9071_8.txt;8;0;0;8;138;0.06;0.0;0.0
9653_9.txt;17;2;0;19;661;0.03;0.0;0.0
6794_10.txt;2;0;0;2;299;0.01;0.0;0.0
8805_9.txt;8;2;0;10;198;0.04;0.01;0.0
3868_10.txt;2;1;0;3;127;0.02;0.01;0.0
6223_7.txt;4;4;0;8;375;0.01;0.01;0.0
6228_7.txt;4;0;0;4;131;0.03;0.0;0.0
8771_7.txt;21;0;2;23;307;0.07;0.0;0.01
4992_7.txt;15;0;0;15;221;0.07;0.0;0.0
11621_9.txt;9;0;1;10;186;0.05;0.0;0.01
6880_7.txt;7;1;4;12;516;0.01;0.0;0.01
11142_8.txt;11;9;4;24;289;0.04;0.03;0.01
8756_9.txt;9;0;0;9;230;0.04;0.0;0.0
2634_7.txt;8;3;5;16;454;0.02;0.01;0.01
9050_8.txt;2;0;0;2;174;0.01;0.0;0.0
10694_7.txt;4;6;2;12;402;0.01;0.01;0.0
6085_8.txt;6;1;0;7;149;0.04;0.01;0.0
3677_8.txt;28;6;0;34;307;0.09;0.02;0.0
4535_7.txt;20;0;0;20;176;0.11;0.0;0.0
6132_10.txt;0;0;0;0;149;0.0;0.0;0.0
4932_8.txt;26;12;7;45;493;0.05;0.02;0.01
3919_7.txt;21;1;1;23;182;0.12;0.01;0.01
6830_10.txt;6;2;0;8;276;0.02;0.01;0.0
8026_9.txt;14;4;0;18;333;0.04;0.01;0.0
4119_8.txt;2;1;0;3;134;0.01;0.01;0.0
6776_7.txt;2;0;0;2;45;0.04;0.0;0.0
7081_8.txt;11;0;2;13;497;0.02;0.0;0.0
5630_8.txt;37;0;0;37;271;0.14;0.0;0.0
10121_8.txt;2;0;0;2;184;0.01;0.0;0.0
12274_10.txt;0;0;0;0;68;0.0;0.0;0.0
5109_10.txt;7;4;2;13;189;0.04;0.02;0.01
4169_7.txt;0;0;0;0;72;0.0;0.0;0.0
7913_10.txt;0;0;0;0;74;0.0;0.0;0.0
12158_7.txt;26;1;2;29;504;0.05;0.0;0.0
6004_10.txt;6;1;3;10;235;0.03;0.0;0.01
10401_10.txt;17;4;0;21;287;0.06;0.01;0.0
4117_9.txt;3;2;0;5;187;0.02;0.01;0.0
4679_10.txt;4;6;0;10;125;0.03;0.05;0.0
3436_8.txt;8;2;0;10;161;0.05;0.01;0.0
11849_8.txt;0;0;0;0;90;0.0;0.0;0.0
5070_9.txt;24;4;2;30;370;0.06;0.01;0.01
2831_7.txt;2;0;5;7;281;0.01;0.0;0.02
132_9.txt;44;8;4;56;885;0.05;0.01;0.0
8938_9.txt;14;1;3;18;168;0.08;0.01;0.02
12088_9.txt;5;0;0;5;111;0.05;0.0;0.0
9781_8.txt;3;0;1;4;708;0.0;0.0;0.0
3870_9.txt;8;1;0;9;342;0.02;0.0;0.0
2214_10.txt;3;4;0;7;224;0.01;0.02;0.0
1823_7.txt;5;1;4;10;393;0.01;0.0;0.01
3483_9.txt;0;0;0;0;62;0.0;0.0;0.0
4976_10.txt;23;1;8;32;335;0.07;0.0;0.02
4075_10.txt;6;3;0;9;185;0.03;0.02;0.0
844_8.txt;7;0;0;7;123;0.06;0.0;0.0
5363_9.txt;6;0;1;7;342;0.02;0.0;0.0
11890_7.txt;9;1;0;10;260;0.03;0.0;0.0
2161_10.txt;4;0;0;4;216;0.02;0.0;0.0
654_10.txt;27;1;0;28;1041;0.03;0.0;0.0
7523_7.txt;11;0;3;14;293;0.04;0.0;0.01
6381_8.txt;7;0;2;9;430;0.02;0.0;0.0
3275_10.txt;11;0;0;11;714;0.02;0.0;0.0
11184_7.txt;39;2;4;45;659;0.06;0.0;0.01
1715_8.txt;17;2;0;19;555;0.03;0.0;0.0
9614_10.txt;0;0;0;0;61;0.0;0.0;0.0
11804_10.txt;3;0;0;3;179;0.02;0.0;0.0
7985_10.txt;42;5;3;50;1079;0.04;0.0;0.0
4528_8.txt;4;1;0;5;228;0.02;0.0;0.0
1414_10.txt;5;2;3;10;585;0.01;0.0;0.01
2090_10.txt;6;1;0;7;318;0.02;0.0;0.0
2543_10.txt;68;5;1;74;921;0.07;0.01;0.0
4648_9.txt;6;2;0;8;391;0.02;0.01;0.0
4957_8.txt;19;2;0;21;340;0.06;0.01;0.0
8657_9.txt;2;0;0;2;187;0.01;0.0;0.0
9175_10.txt;38;16;1;55;1103;0.03;0.01;0.0
2689_9.txt;3;0;0;3;165;0.02;0.0;0.0
11971_10.txt;3;0;0;3;264;0.01;0.0;0.0
5752_8.txt;0;0;0;0;54;0.0;0.0;0.0
12112_10.txt;0;0;0;0;144;0.0;0.0;0.0
3899_9.txt;2;0;0;2;64;0.03;0.0;0.0
8775_9.txt;17;0;4;21;260;0.07;0.0;0.02
6446_10.txt;7;4;0;11;205;0.03;0.02;0.0
3898_10.txt;2;1;0;3;221;0.01;0.0;0.0
8602_10.txt;6;0;0;6;245;0.02;0.0;0.0
4123_7.txt;30;5;25;60;1145;0.03;0.0;0.02
292_10.txt;0;0;0;0;139;0.0;0.0;0.0
8814_10.txt;29;14;2;45;544;0.05;0.03;0.0
6365_7.txt;4;0;0;4;72;0.06;0.0;0.0
12460_7.txt;8;1;2;11;268;0.03;0.0;0.01
10981_8.txt;11;2;4;17;455;0.02;0.0;0.01
3667_8.txt;3;7;0;10;167;0.02;0.04;0.0
7859_7.txt;7;1;1;9;518;0.01;0.0;0.0
10460_10.txt;0;0;0;0;127;0.0;0.0;0.0
9688_9.txt;47;5;2;54;1009;0.05;0.0;0.0
9525_8.txt;26;1;1;28;390;0.07;0.0;0.0
9265_9.txt;8;2;0;10;395;0.02;0.01;0.0
6186_10.txt;61;4;8;73;833;0.07;0.0;0.01
2562_10.txt;8;2;0;10;354;0.02;0.01;0.0
2234_9.txt;0;1;0;1;268;0.0;0.0;0.0
6716_8.txt;26;0;0;26;322;0.08;0.0;0.0
12374_7.txt;24;0;0;24;458;0.05;0.0;0.0
5397_9.txt;14;1;4;19;114;0.12;0.01;0.04
5310_10.txt;11;3;2;16;269;0.04;0.01;0.01
6869_8.txt;4;0;0;4;68;0.06;0.0;0.0
9498_8.txt;24;2;0;26;234;0.1;0.01;0.0
2279_10.txt;2;0;0;2;131;0.02;0.0;0.0
4143_9.txt;4;2;1;7;549;0.01;0.0;0.0
4600_10.txt;4;2;0;6;142;0.03;0.01;0.0
8027_10.txt;6;0;0;6;126;0.05;0.0;0.0
2974_8.txt;0;0;0;0;126;0.0;0.0;0.0
11799_8.txt;3;0;0;3;141;0.02;0.0;0.0
10344_7.txt;14;1;0;15;281;0.05;0.0;0.0
7676_9.txt;8;0;0;8;151;0.05;0.0;0.0
3374_7.txt;8;2;0;10;270;0.03;0.01;0.0
5276_10.txt;0;1;1;2;180;0.0;0.01;0.01
7952_8.txt;0;0;0;0;173;0.0;0.0;0.0
2326_8.txt;10;0;0;10;119;0.08;0.0;0.0
2732_8.txt;19;4;2;25;356;0.05;0.01;0.01
12080_8.txt;7;1;2;10;217;0.03;0.0;0.01
3977_10.txt;0;0;0;0;159;0.0;0.0;0.0
11913_10.txt;0;0;0;0;204;0.0;0.0;0.0
7617_9.txt;3;0;0;3;137;0.02;0.0;0.0
9987_9.txt;6;0;0;6;169;0.04;0.0;0.0
4167_10.txt;2;0;0;2;107;0.02;0.0;0.0
9888_10.txt;0;3;0;3;210;0.0;0.01;0.0
2150_10.txt;0;0;0;0;70;0.0;0.0;0.0
7377_9.txt;3;0;0;3;135;0.02;0.0;0.0
1261_8.txt;5;0;0;5;75;0.07;0.0;0.0
4383_9.txt;114;6;7;127;2137;0.05;0.0;0.0
7214_7.txt;15;0;0;15;292;0.05;0.0;0.0
506_7.txt;3;0;0;3;260;0.01;0.0;0.0
4135_10.txt;6;0;0;6;114;0.05;0.0;0.0
10486_7.txt;5;0;0;5;187;0.03;0.0;0.0
8542_9.txt;5;1;0;6;241;0.02;0.0;0.0
4731_8.txt;3;1;0;4;108;0.03;0.01;0.0
9211_9.txt;15;0;0;15;127;0.12;0.0;0.0
2188_10.txt;2;0;0;2;36;0.06;0.0;0.0
172_10.txt;2;4;0;6;92;0.02;0.04;0.0
11000_10.txt;1;0;0;1;257;0.0;0.0;0.0
1822_8.txt;9;0;4;13;243;0.04;0.0;0.02
9372_9.txt;6;3;0;9;98;0.06;0.03;0.0
10837_10.txt;11;3;0;14;136;0.08;0.02;0.0
9902_7.txt;36;7;4;47;958;0.04;0.01;0.0
5817_10.txt;4;0;2;6;169;0.02;0.0;0.01
